21:44:12.428767 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374068:374224, ack 181, win 501, length 156
21:44:12.491339 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 440540:440696, ack 217, win 501, length 156
21:44:12.491456 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 440696:440852, ack 217, win 501, length 156
21:44:12.491574 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 440852:441008, ack 217, win 501, length 156
21:44:12.491688 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441008:441164, ack 217, win 501, length 156
21:44:12.491806 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441164:441320, ack 217, win 501, length 156
21:44:12.492034 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441320:441476, ack 217, win 501, length 156
21:44:12.492196 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441476:441632, ack 217, win 501, length 156
21:44:12.492379 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441632:441788, ack 217, win 501, length 156
21:44:12.492548 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441788:441944, ack 217, win 501, length 156
21:44:12.492675 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 441944:442100, ack 217, win 501, length 156
21:44:12.492794 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442100:442256, ack 217, win 501, length 156
21:44:12.492950 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442256:442412, ack 217, win 501, length 156
21:44:12.493100 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442412:442568, ack 217, win 501, length 156
21:44:12.493229 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442568:442724, ack 217, win 501, length 156
21:44:12.493344 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442724:442880, ack 217, win 501, length 156
21:44:12.493475 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 442880:443036, ack 217, win 501, length 156
21:44:12.493606 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443036:443192, ack 217, win 501, length 156
21:44:12.493802 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443192:443348, ack 217, win 501, length 156
21:44:12.493960 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443348:443504, ack 217, win 501, length 156
21:44:12.494143 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443504:443660, ack 217, win 501, length 156
21:44:12.494271 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443660:443816, ack 217, win 501, length 156
21:44:12.494436 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 443816:443972, ack 217, win 501, length 156
21:44:12.494488 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 430348, win 6295, length 0
21:44:12.494504 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [P.], seq 217:253, ack 430348, win 6295, length 36
21:44:12.494513 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 432064, win 6295, length 0
^C
2931 packets captured
2933 packets received by filter
0 packets dropped by kernel
